Date,ppt (inches),tmean (degrees F)
2011-01-30,0.00,47.1
2011-01-31,0.00,46.4
2011-02-01,0.00,39.5
2011-02-02,0.00,36.7
2011-02-03,0.00,37.1
2011-02-04,0.00,40.9
2011-02-05,0.04,46.5
2011-02-06,0.03,49.5
2011-02-07,0.12,49.3
2011-02-08,0.03,45.1
2011-02-09,0.00,38.6
2011-02-10,0.00,38.3
2011-02-11,0.00,38.6
2011-02-12,0.00,44.1
2011-02-13,0.63,48.4
2011-02-14,0.08,45.9
2011-02-15,0.69,47.3
2011-02-16,0.38,40.0
2011-02-17,0.18,39.3
2011-02-18,0.02,39.2
2011-02-19,0.19,37.0
2011-02-20,0.00,39.9
2011-02-21,0.03,37.9
2011-02-22,0.05,41.3
2011-02-23,0.07,39.7
2011-02-24,0.21,36.3
2011-02-25,0.07,32.3
2011-02-26,0.00,28.2
2011-02-27,0.00,27.9
2011-02-28,0.50,41.0
2011-03-01,1.58,40.1
2011-03-02,0.21,44.2
2011-03-03,0.08,44.5
2011-03-04,0.16,42.2
2011-03-05,0.42,43.1
2011-03-06,0.02,43.4
2011-03-07,0.00,41.0
2011-03-08,0.07,42.6
2011-03-09,0.06,50.8
2011-03-10,1.07,52.9
2011-03-11,0.11,45.9
2011-03-12,0.08,47.7
2011-03-13,0.20,46.9
2011-03-14,0.96,49.5
2011-03-15,0.24,49.9
2011-03-16,1.12,48.1
2011-03-17,0.62,40.9
2011-03-18,0.09,45.2
2011-03-19,0.03,42.1
2011-03-20,0.03,42.3
2011-03-21,0.15,46.1
2011-03-22,0.02,44.6
2011-03-23,0.00,45.1
2011-03-24,0.13,47.3
2011-03-25,0.07,44.4
2011-03-26,0.22,44.5
2011-03-27,0.10,46.9
2011-03-28,0.26,44.4
2011-03-29,0.18,47.0
2011-03-30,0.26,49.4
2011-03-31,0.02,55.5
2011-04-01,0.00,54.1
2011-04-02,0.11,53.9
2011-04-03,0.02,43.2
2011-04-04,0.00,44.1
2011-04-05,0.28,47.2
2011-04-06,0.07,45.4
2011-04-07,0.41,42.4
2011-04-08,0.00,41.6
2011-04-09,0.00,45.2
2011-04-10,0.12,48.4
2011-04-11,0.22,49.9
2011-04-12,0.06,41.8
2011-04-13,0.04,43.7
2011-04-14,0.33,46.1
2011-04-15,0.33,46.3
2011-04-16,0.41,50.0
2011-04-17,0.02,46.8
2011-04-18,0.00,43.9
2011-04-19,0.00,43.1
2011-04-20,0.00,44.6
2011-04-21,0.00,47.7
2011-04-22,0.00,43.0
2011-04-23,0.00,46.3
2011-04-24,0.14,51.3
2011-04-25,0.64,50.3
2011-04-26,0.12,49.3
2011-04-27,0.03,48.3
2011-04-28,0.05,48.1
2011-04-29,0.36,43.6
2011-04-30,0.04,47.6
2011-05-01,0.02,47.2
2011-05-02,0.00,50.4
2011-05-03,0.12,50.7
2011-05-04,0.00,50.0
2011-05-05,0.02,54.2
2011-05-06,0.02,52.9
2011-05-07,0.25,51.1
2011-05-08,0.08,51.2
2011-05-09,0.17,50.0
2011-05-10,0.00,52.5
2011-05-11,0.00,55.8
2011-05-12,0.34,45.5
2011-05-13,0.00,48.7
2011-05-14,0.00,55.8
2011-05-15,0.10,53.2
2011-05-16,0.12,52.5
2011-05-17,0.01,51.9
2011-05-18,0.11,53.0
2011-05-19,0.00,55.9
2011-05-20,0.00,55.8
2011-05-21,0.00,57.5
2011-05-22,0.00,56.5
2011-05-23,0.00,53.6
2011-05-24,0.11,53.4
2011-05-25,0.35,56.9
2011-05-26,0.18,49.5
2011-05-27,0.45,49.7
2011-05-28,0.37,50.4
2011-05-29,0.07,51.3
2011-05-30,0.00,51.5
2011-05-31,0.40,56.0
2011-06-01,0.19,56.0
2011-06-02,0.54,52.5
2011-06-03,0.10,50.7
2011-06-04,0.00,59.4
2011-06-05,0.00,70.0
2011-06-06,0.01,66.4
2011-06-07,0.00,59.7
2011-06-08,0.04,56.2
2011-06-09,0.00,55.0
2011-06-10,0.00,60.0
2011-06-11,0.00,58.2
2011-06-12,0.00,59.2
2011-06-13,0.14,56.8
2011-06-14,0.00,60.0
2011-06-15,0.00,58.6
2011-06-16,0.00,54.6
2011-06-17,0.00,55.8
2011-06-18,0.00,60.8
2011-06-19,0.15,57.8
2011-06-20,0.00,61.2
2011-06-21,0.00,62.0
2011-06-22,0.00,68.0
2011-06-23,0.00,61.0
2011-06-24,0.00,60.0
2011-06-25,0.00,58.2
2011-06-26,0.00,60.2
2011-06-27,0.00,61.2
2011-06-28,0.15,65.6
2011-06-29,0.01,65.1
2011-06-30,0.00,61.2
2011-07-01,0.00,58.2
2011-07-02,0.00,63.3
2011-07-03,0.00,66.6
2011-07-04,0.00,62.1
2011-07-05,0.00,65.2
2011-07-06,0.00,69.8
2011-07-07,0.00,71.6
2011-07-08,0.00,60.8
2011-07-09,0.00,58.8
2011-07-10,0.00,62.8
2011-07-11,0.00,65.5
2011-07-12,0.12,62.1
2011-07-13,0.05,61.9
2011-07-14,0.04,60.8
2011-07-15,0.00,61.0
2011-07-16,0.22,64.5
2011-07-17,0.20,65.0
2011-07-18,0.37,59.7
2011-07-19,0.03,64.2
2011-07-20,0.01,61.3
2011-07-21,0.00,63.9
2011-07-22,0.00,63.0
2011-07-23,0.00,62.5
2011-07-24,0.00,68.4
2011-07-25,0.00,72.3
2011-07-26,0.00,65.2
2011-07-27,0.00,65.9
2011-07-28,0.00,64.8
2011-07-29,0.00,68.2
2011-07-30,0.00,69.6
2011-07-31,0.00,69.3
2011-08-01,0.00,67.4
2011-08-02,0.00,69.0
2011-08-03,0.00,66.9
2011-08-04,0.00,68.4
2011-08-05,0.00,69.5
2011-08-06,0.00,67.7
2011-08-07,0.00,65.7
2011-08-08,0.00,66.1
2011-08-09,0.00,63.4
2011-08-10,0.00,62.5
2011-08-11,0.00,64.6
2011-08-12,0.00,66.4
2011-08-13,0.00,67.6
2011-08-14,0.00,61.6
2011-08-15,0.00,65.2
2011-08-16,0.00,65.6
2011-08-17,0.00,67.9
2011-08-18,0.00,67.0
2011-08-19,0.00,64.9
2011-08-20,0.00,67.7
2011-08-21,0.00,74.9
2011-08-22,0.00,73.7
2011-08-23,0.00,67.4
2011-08-24,0.00,73.1
2011-08-25,0.00,75.8
2011-08-26,0.04,75.7
2011-08-27,0.00,74.0
2011-08-28,0.00,72.5
2011-08-29,0.00,68.2
2011-08-30,0.00,63.7
2011-08-31,0.00,62.4
2011-09-01,0.00,57.6
2011-09-02,0.00,61.5
2011-09-03,0.00,63.5
2011-09-04,0.00,70.4
2011-09-05,0.00,70.4
2011-09-06,0.00,69.8
2011-09-07,0.00,70.9
2011-09-08,0.00,74.7
2011-09-09,0.00,73.1
2011-09-10,0.00,73.9
2011-09-11,0.00,76.0
2011-09-12,0.00,72.5
2011-09-13,0.00,65.2
2011-09-14,0.00,62.0
2011-09-15,0.00,62.6
2011-09-16,0.00,60.5
2011-09-17,0.00,58.6
2011-09-18,0.00,58.0
2011-09-19,0.09,67.2
2011-09-20,0.00,60.8
2011-09-21,0.00,64.0
2011-09-22,0.00,69.1
2011-09-23,0.00,66.8
2011-09-24,0.00,70.2
2011-09-25,0.03,68.6
2011-09-26,0.08,58.8
2011-09-27,0.20,64.3
2011-09-28,0.02,56.1
2011-09-29,0.00,58.2
2011-09-30,0.00,63.6
2011-10-01,0.00,61.5
2011-10-02,0.30,57.4
2011-10-03,0.34,58.2
2011-10-04,0.14,57.3
2011-10-05,0.41,55.9
2011-10-06,0.05,52.3
2011-10-07,0.02,53.3
2011-10-08,0.04,54.8
2011-10-09,0.04,59.6
2011-10-10,0.14,56.6
2011-10-11,0.36,58.0
2011-10-12,0.23,56.4
2011-10-13,0.00,55.0
2011-10-14,0.06,50.8
2011-10-15,0.09,51.6
2011-10-16,0.00,53.9
2011-10-17,0.00,51.6
2011-10-18,0.00,53.2
2011-10-19,0.00,58.7
2011-10-20,0.00,54.3
2011-10-21,0.00,55.3
2011-10-22,0.00,58.6
2011-10-23,0.00,60.1
2011-10-24,0.00,52.3
2011-10-25,0.00,47.3
2011-10-26,0.00,44.7
2011-10-27,0.00,42.3
2011-10-28,0.00,47.1
2011-10-29,0.14,49.0
2011-10-30,0.03,54.3
2011-10-31,0.15,52.3
2011-11-01,0.11,44.0
2011-11-02,0.00,40.0
2011-11-03,0.37,41.6
2011-11-04,0.09,43.2
2011-11-05,0.05,41.9
2011-11-06,0.24,44.3
2011-11-07,0.02,46.9
2011-11-08,0.03,45.4
2011-11-09,0.02,43.3
2011-11-10,0.00,44.1
2011-11-11,0.00,43.2
2011-11-12,0.17,44.0
2011-11-13,0.11,44.2
2011-11-14,0.07,50.4
2011-11-15,0.06,44.0
2011-11-16,0.08,40.4
2011-11-17,0.45,44.9
2011-11-18,0.81,42.8
2011-11-19,0.34,39.6
2011-11-20,0.00,38.3
2011-11-21,0.06,38.2
2011-11-22,1.23,48.6
2011-11-23,0.96,55.3
2011-11-24,0.46,46.9
2011-11-25,0.58,42.3
2011-11-26,0.02,44.3
2011-11-27,0.00,48.5
2011-11-28,0.46,47.5
2011-11-29,0.00,41.1
2011-11-30,0.08,42.0
2011-12-01,0.00,43.5
2011-12-02,0.00,40.7
2011-12-03,0.00,39.5
2011-12-04,0.00,34.1
2011-12-05,0.00,33.4
2011-12-06,0.00,33.3
2011-12-07,0.00,29.6
2011-12-08,0.00,35.8
2011-12-09,0.00,35.4
2011-12-10,0.00,32.2
2011-12-11,0.02,31.8
2011-12-12,0.00,36.2
2011-12-13,0.00,35.4
2011-12-14,0.00,33.6
2011-12-15,0.14,33.9
2011-12-16,0.02,42.1
2011-12-17,0.01,39.8
2011-12-18,0.02,37.1
2011-12-19,0.00,39.9
2011-12-20,0.00,37.8
2011-12-21,0.00,38.6
2011-12-22,0.00,35.0
2011-12-23,0.00,30.4
2011-12-24,0.00,40.2
2011-12-25,0.00,41.0
2011-12-26,0.05,41.3
2011-12-27,0.05,39.0
2011-12-28,0.58,49.2
2011-12-29,0.87,51.8
2011-12-30,1.22,50.4
2011-12-31,0.28,40.5
2012-01-01,0.00,35.9
2012-01-02,0.00,41.5
2012-01-03,0.05,44.0
2012-01-04,0.00,47.9
2012-01-05,0.15,48.7
2012-01-06,0.03,40.3
2012-01-07,0.07,36.7
2012-01-08,0.00,39.5
2012-01-09,0.00,35.9
2012-01-10,0.29,38.1
2012-01-11,0.00,37.0
2012-01-12,0.00,38.1
2012-01-13,0.00,36.0
2012-01-14,0.00,34.8
2012-01-15,0.19,38.5
2012-01-16,0.10,34.7
2012-01-17,0.40,33.6
2012-01-18,2.22,37.5
2012-01-19,2.61,45.3
2012-01-20,0.72,50.9
2012-01-21,0.65,49.2
2012-01-22,0.11,42.7
2012-01-23,0.20,42.0
2012-01-24,0.20,38.0
2012-01-25,0.59,48.0
2012-01-26,0.11,50.3
2012-01-27,0.00,39.4
2012-01-28,0.00,34.1
2012-01-29,0.00,38.8
2012-01-30,0.42,45.4
2012-01-31,0.00,46.3
2012-02-01,0.10,46.5
2012-02-02,0.00,43.3
2012-02-03,0.00,43.6
2012-02-04,0.00,46.3
2012-02-05,0.00,43.5
2012-02-06,0.00,43.1
2012-02-07,0.00,45.6
2012-02-08,0.12,43.6
2012-02-09,0.59,43.8
2012-02-10,0.08,48.3
2012-02-11,0.14,47.2
2012-02-12,0.00,42.6
2012-02-13,0.20,42.9
2012-02-14,0.06,42.3
2012-02-15,0.14,39.6
2012-02-16,0.00,38.2
2012-02-17,0.10,39.9
2012-02-18,0.22,46.6
2012-02-19,0.04,41.9
2012-02-20,0.14,41.9
2012-02-21,0.14,45.3
2012-02-22,0.21,52.0
2012-02-23,0.14,43.3
2012-02-24,0.00,41.9
2012-02-25,0.40,42.9
2012-02-26,0.12,40.2
2012-02-27,0.14,37.7
2012-02-28,0.01,38.8
2012-02-29,0.60,38.0
2012-03-01,0.93,36.8
2012-03-02,0.04,39.2
2012-03-03,0.00,42.5
2012-03-04,0.00,47.7
2012-03-05,0.00,45.6
2012-03-06,0.41,40.1
2012-03-07,0.00,37.1
2012-03-08,0.00,38.5
2012-03-09,0.00,46.8
2012-03-10,0.00,47.9
2012-03-11,0.28,46.5
2012-03-12,0.20,42.0
2012-03-13,1.51,41.7
2012-03-14,0.28,39.3
2012-03-15,0.96,44.8
2012-03-16,0.94,47.7
2012-03-17,0.42,46.1
2012-03-18,0.15,41.7
2012-03-19,0.06,38.8
2012-03-20,0.17,39.7
2012-03-21,0.88,41.0
2012-03-22,1.01,34.6
2012-03-23,0.00,38.7
2012-03-24,0.00,43.9
2012-03-25,0.00,52.2
2012-03-26,0.10,43.2
2012-03-27,0.10,45.3
2012-03-28,0.24,50.0
2012-03-29,0.28,48.5
2012-03-30,1.51,50.9
2012-03-31,0.81,45.4
2012-04-01,0.34,47.4
2012-04-02,0.21,43.3
2012-04-03,0.06,50.6
2012-04-04,0.23,44.7
2012-04-05,0.27,42.6
2012-04-06,0.12,41.1
2012-04-07,0.00,42.8
2012-04-08,0.00,47.2
2012-04-09,0.00,55.9
2012-04-10,0.00,54.0
2012-04-11,0.22,54.7
2012-04-12,0.17,48.3
2012-04-13,0.16,48.7
2012-04-14,0.02,47.8
2012-04-15,0.00,49.9
2012-04-16,0.30,52.1
2012-04-17,0.14,47.6
2012-04-18,0.19,45.1
2012-04-19,0.04,51.4
2012-04-20,0.39,52.4
2012-04-21,0.02,52.2
2012-04-22,0.00,58.0
2012-04-23,0.00,63.0
2012-04-24,0.00,66.6
2012-04-25,0.03,58.0
2012-04-26,0.41,58.0
2012-04-27,0.20,50.1
2012-04-28,0.07,50.2
2012-04-29,0.00,53.5
2012-04-30,0.21,56.1
2012-05-01,0.05,50.4
2012-05-02,0.05,46.8
2012-05-03,0.56,48.4
2012-05-04,0.20,51.5
2012-05-05,0.14,47.2
2012-05-06,0.00,46.9
2012-05-07,0.00,53.4
2012-05-08,0.00,60.0
2012-05-09,0.00,57.9
2012-05-10,0.00,47.8
2012-05-11,0.00,47.9
2012-05-12,0.00,56.4
2012-05-13,0.00,63.0
2012-05-14,0.00,66.7
2012-05-15,0.00,63.5
2012-05-16,0.00,62.4
2012-05-17,0.00,58.2
2012-05-18,0.00,52.5
2012-05-19,0.00,51.0
2012-05-20,0.00,54.9
2012-05-21,0.15,58.6
2012-05-22,0.46,55.4
2012-05-23,0.31,51.9
2012-05-24,0.10,54.2
2012-05-25,0.43,51.8
2012-05-26,0.25,59.5
2012-05-27,0.00,57.2
2012-05-28,0.00,57.0
2012-05-29,0.00,54.3
2012-05-30,0.00,56.8
2012-05-31,0.00,60.5
2012-06-01,0.00,65.5
2012-06-02,0.12,66.9
2012-06-03,0.01,57.7
2012-06-04,0.21,55.6
2012-06-05,0.35,54.8
2012-06-06,0.08,52.5
2012-06-07,0.30,54.5
2012-06-08,0.25,55.8
2012-06-09,0.18,50.9
2012-06-10,0.00,52.5
2012-06-11,0.00,55.5
2012-06-12,0.13,61.8
2012-06-13,0.04,61.2
2012-06-14,0.00,56.4
2012-06-15,0.00,57.3
2012-06-16,0.00,63.5
2012-06-17,0.00,70.4
2012-06-18,0.05,63.1
2012-06-19,0.01,57.7
2012-06-20,0.10,53.7
2012-06-21,0.00,62.2
2012-06-22,0.02,65.9
2012-06-23,0.38,58.3
2012-06-24,0.18,56.9
2012-06-25,0.02,59.1
2012-06-26,0.11,58.9
2012-06-27,0.04,56.8
2012-06-28,0.00,61.8
2012-06-29,0.01,61.5
2012-06-30,0.00,66.4
2012-07-01,0.25,62.7
2012-07-02,0.08,60.9
2012-07-03,0.16,62.7
2012-07-04,0.00,57.8
2012-07-05,0.00,60.2
2012-07-06,0.00,64.7
2012-07-07,0.00,67.6
2012-07-08,0.00,70.7
2012-07-09,0.00,72.8
2012-07-10,0.00,69.4
2012-07-11,0.00,67.3
2012-07-12,0.00,71.2
2012-07-13,0.00,68.0
2012-07-14,0.00,66.8
2012-07-15,0.00,70.4
2012-07-16,0.00,64.8
2012-07-17,0.00,67.6
2012-07-18,0.00,69.5
